,ticker,figi,type,name
215,HA,BBG000BC4185,shares,Hawaiian Holdings Inc
216,USPH,BBG000CSRSG6,shares,US Physical Therapy Inc
217,CWH,BBG00D2Z7X83,shares,"Camping World Holdings, Inc."
218,CGNX,BBG000BPBVW5,shares,Cognex Corp
219,FRT,BBG000BJVN28,shares,Federal Realty Investment Trust REIT
220,BGS,BBG000RKXRQ1,shares,B&G Foods Inc
221,PRGS,BBG000C4QP94,shares,Progress Software Corp
222,CLBK,BBG003222R31,shares,Columbia Financial
223,DLTR,BBG000BSC0K9,shares,Dollar Tree
224,WCC,BBG000D0FNV3,shares,WESCO International Inc
225,GTX,BBG00HY28P97,shares,Garrett Motion Inc
226,PFGC,BBG009XW2WB8,shares,Performance Food Group Co
227,COF,BBG000BGKTF9,shares,Capital One
228,CHGG,BBG0014XR0N5,shares,Chegg Inc
229,KIDS,BBG00HFFRW39,shares,OrthoPediatrics Corp
230,KVYO,BBG009WR3FL5,shares,Klaviyo
231,FIXP@GS,TCS0835G2057,shares,Fix Price Group
232,1997,BBG00J76TKS1,shares,Wharf Real Estate
233,MSGE,BBG019980TD4,shares,Madison Square Garden Entertainment Corp.
234,LOW,BBG000BNDN65,shares,Lowe's
235,AMP,BBG000G3QLY3,shares,Ameriprise Financial
236,OZON@US,TCS0269L1044,shares,Ozon Holdings PLC
237,MGNT,BBG004RVFCY3,shares,Магнит
238,SVAV,BBG004S68JR8,shares,СОЛЛЕРС
239,AZO,BBG000C7LMS8,shares,AutoZone
240,PRG,BBG00VSH86G4,shares,PROG Holdings
241,ABR,BBG000KMVDV1,shares,Arbor Realty Trust REIT
242,PETQ,BBG00H1CY328,shares,PetIQ Inc
243,GS,BBG000C6CFJ5,shares,Goldman Sachs
244,PPG,BBG000BRJ809,shares,PPG Industries
245,MKSI,BBG000BVMG26,shares,MKS Instruments
246,SCHW,BBG000BSLZY7,shares,The Charles Schwab Corporation
247,175,BBG000BZ3PX4,shares,Geely Automobile Holdings
248,WYNN,BBG000LD9JQ8,shares,Wynn Resorts
249,RDN,BBG000BMWV95,shares,Radian Group
250,MCO,BBG000F86GP6,shares,Moody's
251,CNXC,BBG00RCNQMX3,shares,Concentrix Corporation
252,FTCH,BBG00LSD4456,shares,Farfetch Ltd
253,SPGI,BBG000BP1Q11,shares,S&P Global
254,BC,BBG000BCWSS3,shares,Brunswick Corp DE
255,RDY,BBG000NJ96L6,shares,Dr. Reddy's Laboratories
256,SPBE,BBG002GHV6L9,shares,СПБ Биржа
257,ALB,BBG000BJ26K7,shares,Albemarle
258,MELI,BBG000GQPB11,shares,MercadoLibre Inc
259,CSWI,BBG007NLG4L3,shares,CSW Industrials Inc
260,916,BBG000P2MRM9,shares,China Longyuan Power Group
261,UAA,BBG000BXM6V2,shares,Under Armour
262,UNP,BBG000BW3299,shares,Union Pacific Corporation
263,NTLA,BBG007KC7PB0,shares,Intellia Therapeutics Inc
264,FFIN,BBG000BL8476,shares,"First Financial Bankshares, Inc."
